


   ------------------------------------------------------------
   |                                                          |
   |                 MONTE-CARLO CODE FOR                     |
   |           SP1 EQUATION (1D-Ponctual source)              |
   |             Done at Berkeley by Ilker Makine             |
   |                      OUTPUT FILE                         |
   |                                                          |
   |                                                          |
   ------------------------------------------------------------
   ---------------------------INPUT PARAMETERS---------------------



    Thickness of the media = 60
    Absorption cross-section = 0.0005
    Scattering cross-section = 0.4995
    Total cross-section = 0.5
    Source of neutrons = 0.001
    Number of particles = 10000
    Precision in the media (step) = 0.2



   ---------------------------TIME ELAPSED---------------------



   97.53849959373474 seconds are elapsed during the running of the code


   ---------------------------MOMENTS--------------------------



   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^m         | Theoretical values | Computational values |        Errors        |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^1         | 2.3094                 |2.310721678099164     |0.0005723036715873545 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^2         | 8.0                    |8.003042030899607     |0.00038025386245088555|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^3         | 44.9504                |36.915290157155724    |-0.17875502426773238  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^4         | 213.3328               |212.4180541736416     |-0.004287881780759445 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^5         | 1542.016               |1462.1978391641392    |-0.05176221312610304  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^6         | 1542.016               |11693.552410415448    |-0.021187036696259865 |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------



   ---------------------------EVENTS COUNTER---------------------



   2756599 scatterings occurs during the simulation
   7148 escapes occurs during the simulation
   2852 absorptions occurs during the simulation



   ---------------------------FLUX(Z)----------------------------
 --- Z ---         ---FLUX(Z)--- 
   28.8            0.017954        0.014987
   29.0            0.01788        0.014778
   29.2            0.018229        0.015058
   29.4            0.018205        0.015141
   29.6            0.018106        0.014937
   29.8            0.018051        0.014854
   30.0            0.018141        0.014991
   30.2            0.018338        0.01513
   30.4            0.018214        0.015036
   30.6            0.018151        0.015059
   30.8            0.017936        0.014958
   31.0            0.017648        0.014716
   31.2            0.017957        0.014893
   31.4            0.017855        0.014912
   31.6            0.017464        0.014662
   31.8            0.017555        0.014682
   32.0            0.017266        0.014697
   32.2            0.01701        0.014509
   32.4            0.016837        0.014404
   32.6            0.016697        0.014285
   32.8            0.01681        0.014451
   33.0            0.016537        0.014357
   33.2            0.016085        0.014025
   33.4            0.016172        0.01403
   33.6            0.016076        0.014004
   33.8            0.015929        0.01402
   34.0            0.015559        0.013753
   34.2            0.015828        0.013901
   34.4            0.015464        0.01367
   34.6            0.015345        0.01371
   34.8            0.015472        0.013821
   35.0            0.015164        0.013639
   35.2            0.015073        0.013531
   35.4            0.014899        0.013361
   35.6            0.014864        0.013433
   35.8            0.014565        0.013255
   36.0            0.014577        0.013324
   36.2            0.01442        0.013104
   36.4            0.01431        0.013176
   36.6            0.014189        0.013094
   36.8            0.013841        0.012797
   37.0            0.013847        0.012766
   37.2            0.013629        0.012729
   37.4            0.013584        0.01271
   37.6            0.013464        0.012678
   37.8            0.013462        0.012633
   38.0            0.013191        0.012415
   38.2            0.013115        0.012549
   38.4            0.01306        0.012526
   38.6            0.012638        0.012141
   38.8            0.012569        0.012226
   39.0            0.012578        0.012279
   39.2            0.012744        0.012297
   39.4            0.012516        0.012275
   39.6            0.012204        0.012027
   39.8            0.011924        0.011848
   40.0            0.011988        0.011826
   40.2            0.011895        0.011965
   40.4            0.011519        0.01159
   40.6            0.011525        0.01165
   40.8            0.011375        0.01147
   41.0            0.011418        0.011511
   41.2            0.011081        0.011329
   41.4            0.010844        0.01121
   41.6            0.010899        0.011186
   41.8            0.010927        0.011252
   42.0            0.0107        0.011032
   42.2            0.010706        0.011039
   42.4            0.010696        0.011185
   42.6            0.010322        0.010762
   42.8            0.010273        0.010776
   43.0            0.010102        0.01061
   43.2            0.009945        0.010408
   43.4            0.009791        0.010382
   43.6            0.009937        0.010526
   43.8            0.009645        0.010361
   44.0            0.009422        0.010117
   44.2            0.009342        0.010096
   44.4            0.009455        0.010206
   44.6            0.009253        0.01012
   44.8            0.009266        0.010095
   45.0            0.008942        0.00983
   45.2            0.008971        0.009969
   45.4            0.008822        0.009867
   45.6            0.008574        0.00949
   45.8            0.008776        0.009761
   46.0            0.008441        0.00951
   46.2            0.008439        0.009643
   46.4            0.00831        0.009438
   46.6            0.00814        0.00921
   46.8            0.008027        0.009232
   47.0            0.007934        0.009111
   47.2            0.007729        0.009031
   47.4            0.007763        0.008931
   47.6            0.007695        0.008919
   47.8            0.007493        0.008748
   48.0            0.007345        0.008588
   48.2            0.007382        0.008707
   48.4            0.007319        0.008712
   48.6            0.006943        0.008335
   48.8            0.006854        0.008188
   49.0            0.006809        0.008143
   49.2            0.006668        0.008101
   49.4            0.006645        0.008059
   49.6            0.006498        0.007999
   49.8            0.00631        0.007824
   50.0            0.006167        0.007656
   50.2            0.005986        0.00756
   50.4            0.006018        0.007532
