


   ------------------------------------------------------------
   |                                                          |
   |                 MONTE-CARLO CODE FOR                     |
   |          SP2 EQUATIONS (1D - Ponctual source)            |
   |             Done at Berkeley by Ilker Makine             |
   |                      OUTPUT FILE                         |
   |                                                          |
   |                                                          |
   ------------------------------------------------------------
   ---------------------------INPUT PARAMETERS---------------------



    Thickness of the media = 30
    Absorption cross-section = 0.004
    Scattering cross-section = 0.496
    Total cross-section = 0.5
    Source of neutrons = 0.008
    Number of particles = 10000
    Precision in the media (step) = 0.1



   ---------------------------TIME ELAPSED---------------------



   24.133501529693604 seconds are elapsed during the running of the code


   ---------------------------MOMENTS--------------------------



   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^m         | Theoretical values | Computational values |        Errors        |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^1         | 1.7212                 |1.7185631043370653    |-0.0015320100295926043|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^2         | 8.0                    |8.00144646078015      |0.00018080759751870623|
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^3         | 49.5744                |49.825090112403       |0.005056846122252603  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^4         | 384.0                  |389.34970777246383    |0.013931530657457891  |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^5         | 3569.3408              |3667.9167933050117    |0.02761742260784168   |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------
   |                  |                    |                      |                      |
   |      s^6         | 3569.3408              |40485.23885017052     |0.04593561017512308   |
   |                  |                    |                      |                      |
   ---------------------------------------------------------------------------------------



   ---------------------------EVENTS COUNTER---------------------



   589185 scatterings occurs during the simulation
   5229 escapes occurs during the simulation
   4771 absorptions occurs during the simulation



   ---------------------------FLUX(Z)----------------------------
 --- Z ---         ---FLUX(Z)--- 
   14.4            0.063376        0.138755
   14.5            0.074096        0.149406
   14.6            0.073696        0.147184
   14.7            0.075168        0.148889
   14.8            0.075872        0.151398
   14.9            0.07592        0.14985
   15.0            0.075184        0.150532
   15.1            0.072544        0.146694
   15.2            0.071568        0.144147
   15.3            0.072208        0.146817
   15.4            0.074448        0.149392
   15.5            0.055088        0.127513
   15.6            0.06176        0.134717
   15.7            0.058928        0.131692
   15.8            0.059856        0.13497
   15.9            0.059648        0.132974
   16.0            0.06056        0.134075
   16.1            0.05728        0.131343
   16.2            0.057488        0.13061
   16.3            0.056496        0.129509
   16.4            0.056928        0.130249
   16.5            0.05528        0.125773
   16.6            0.055424        0.128839
   16.7            0.054832        0.12758
   16.8            0.055456        0.129666
   16.9            0.053712        0.127932
   17.0            0.055264        0.130732
   17.1            0.052832        0.124859
   17.2            0.054352        0.129419
   17.3            0.049776        0.119899
   17.4            0.052192        0.125662
   17.5            0.04912        0.118402
   17.6            0.051696        0.125722
   17.7            0.047136        0.114674
   17.8            0.050576        0.124369
   17.9            0.05032        0.123374
   18.0            0.047952        0.120835
   18.1            0.048208        0.119135
   18.2            0.04744        0.119009
   18.3            0.048256        0.11918
   18.4            0.046912        0.118384
   18.5            0.048864        0.126655
   18.6            0.046816        0.118148
   18.7            0.048768        0.122397
   18.8            0.045856        0.115999
   18.9            0.043808        0.113617
   19.0            0.044064        0.115599
   19.1            0.044608        0.116839
   19.2            0.042352        0.112089
   19.3            0.041152        0.109982
   19.4            0.043904        0.113977
   19.5            0.040976        0.110011
   19.6            0.04096        0.108996
   19.7            0.041984        0.111897
   19.8            0.042368        0.113655
   19.9            0.040464        0.109342
   20.0            0.038944        0.107127
   20.1            0.03816        0.106986
   20.2            0.038224        0.104605
   20.3            0.039232        0.10835
   20.4            0.038176        0.105808
   20.5            0.03712        0.104284
   20.6            0.038112        0.106683
   20.7            0.0388        0.107761
   20.8            0.03752        0.104895
   20.9            0.037296        0.105726
   21.0            0.037136        0.10444
   21.1            0.03592        0.104222
   21.2            0.035856        0.103189
   21.3            0.03424        0.100478
   21.4            0.03552        0.103503
   21.5            0.034624        0.099644
   21.6            0.034528        0.102463
   21.7            0.033296        0.097376
   21.8            0.033808        0.09802
   21.9            0.031376        0.093451
   22.0            0.032656        0.100056
   22.1            0.03096        0.094755
   22.2            0.031536        0.098087
   22.3            0.032192        0.098704
   22.4            0.030304        0.093323
   22.5            0.029392        0.091428
   22.6            0.029296        0.092879
   22.7            0.02832        0.088489
   22.8            0.03016        0.093019
   22.9            0.02784        0.089163
   23.0            0.028112        0.090939
   23.1            0.027504        0.090435
   23.2            0.026208        0.085828
   23.3            0.025856        0.086347
   23.4            0.027056        0.089139
   23.5            0.024896        0.081728
   23.6            0.02464        0.081994
   23.7            0.023904        0.081286
   23.8            0.024832        0.083719
   23.9            0.024128        0.081608
   24.0            0.023792        0.081031
   24.1            0.02376        0.083784
   24.2            0.02448        0.084947
   24.3            0.023456        0.08234
   24.4            0.024608        0.083065
   24.5            0.02344        0.082551
   24.6            0.021984        0.078219
   24.7            0.019632        0.074218
   24.8            0.021504        0.077207
   24.9            0.02072        0.075561
   25.0            0.022624        0.080747
   25.1            0.020896        0.078317
   25.2            0.020144        0.075561
   25.3            0.018848        0.074321
   25.4            0.019056        0.07413
   25.5            0.0192        0.073656
   25.6            0.019536        0.073373
   25.7            0.019568        0.076109
   25.8            0.019072        0.075446
   25.9            0.019248        0.073343
   26.0            0.018176        0.071285
   26.1            0.018368        0.074834
   26.2            0.017024        0.070838
   26.3            0.017056        0.069528
   26.4            0.016736        0.068352
   26.5            0.016704        0.070155
   26.6            0.016496        0.069764
   26.7            0.01456        0.065836
   26.8            0.013744        0.060956
   26.9            0.014544        0.065919
   27.0            0.013504        0.06083
   27.1            0.013072        0.059294
   27.2            0.012016        0.055938
   27.3            0.012016        0.057793
   27.4            0.01184        0.056466
   27.5            0.01296        0.060012
   27.6            0.012688        0.059016
   27.7            0.01216        0.058867
   27.8            0.011728        0.057774
   27.9            0.011056        0.05412
   28.0            0.010048        0.050504
